country,state,iata,hotel,note,found
EUROPE,Geneva,GVA,La Reserve,,
EUROPE,Geneva,GVA,President Wilson,"luxury hotel on the scenic shores of Lake Leman, in Switzerland's pristine and beautiful ""City of Peace.",
EUROPE,Geneva,GVA,Mandarin Oriental,,
EUROPE,Geneva,GVA,Beau Rivage,,
EUROPE,Zurich,ZRH,Dolder grand,,
EUROPE,Zurich,ZRH,Atlantis -Giardano,,
EUROPE,Zurich,ZRH,Widder,"No two rooms are alike at Zurich's Widder Hotel. This cluster of nine restored heritage townhouses is designed to make your privacy an absolute priority, and your stay a delight.",
EUROPE,Zurich,ZRH,Baur au Lac,,
EUROPE,Zurich,ZRH,Park Hyatt,,
EUROPE,Moscow,SVO,Radisson Royal,,
EUROPE,Moscow,SVO,Hotel Metropol,,
EUROPE,Moscow,SVO,Four Seasons,,
EUROPE,Moscow,SVO,Lottle Hotel,,
EUROPE,Moscow,SVO,Ritz Carlton,"Moody and mysterious, The Ritz-Carlton, Moscow is a dramatic setting for your Russian travels. Close to the Red Square and Kremlin, it's a central hotel for a culturally engaged crowd.",
ASIA,Singapore,SIN,Marina Bay Sands,Your spirits will be lifted by a birds-eye view of the city coupled with the extraordinary combination of exquisite luxury and contemporary design.,
ASIA,Singapore,SIN,Capella,,
ASIA,Singapore,SIN,Shangri-La,,
ASIA,Singapore,SIN,St.Regis,,
ASIA,Singapore,SIN,Four Seasons,,
ASIA,Hong Kong,HKG,Ritz Carlton,,
ASIA,Hong Kong,HKG,Peninsula,,
ASIA,Hong Kong,HKG,Upperhouse,,
ASIA,Hong Kong,HKG,Four Seasons,"Slide into the rooftop infinity pool and open your ears to the music pumped in under water. As you emerge from the deep, open your eyes and take in the twinkling lights of Hong Kong's Victoria Harbor.",
ASIA,Hong Kong,HKG,Mandarin Oriental -Land Mark,,
ASIA,Tokyo,NRT,Peninsula,,
ASIA,Tokyo,NRT,Aman,An urban sanctuary located high above Tokyo in the prestigious Otemachi Tower,
ASIA,Tokyo,NRT,Palace Hotel,,
ASIA,Tokyo,NRT,Mandarin Oriental,,
ASIA,Tokyo,NRT,Shangri- la,,
ASIA,Jakarta,CGK,Mulia,,
ASIA,Jakarta,CGK,Mandarin Oriental,"With its exceptional service and stunning city views, Mandarin Oriental, Jakarta stands out among the many skyscrapers of Jakarta's downtown in more ways than one",
ASIA,Jakarta,CGK,Hotel Kempinski,,
ASIA,Jakarta,CGK,Ritz Carlton,,
ASIA,Jakarta,CGK,Ayana,,
ASIA,Bali,DPS,W Seminyak,,
ASIA,Bali,DPS,Alila Uluwatu,"Alila Villas Uluwatu is a pure resort destination experience in one of the world's most serene and romantic destinations - Bali, Indonesia.",
ASIA,Bali,DPS,Mulia Nusa Dua,,
ASIA,Bali,DPS,Mandapa Ritz -Ubud,,
ASIA,Bali,DPS,Four Seasons -Jimbaran,,
ASIA,Seoul,SEL,Conrad,,
ASIA,Seoul,SEL,Banyan Tree,,
ASIA,Seoul,SEL,Grand Intercontinental,,
ASIA,Seoul,SEL,Park Hyatt,,
ASIA,Seoul,SEL,Signiel Seoul,"Currently the sixth tallest building on earth, Lotte World Tower provides a spectacular setting for Signiel Seoul, a landmark hotel with awe-inspiring skyline views.",
Middle East,Dubai,DXB,Armani Hotel,,
Middle East,Dubai,DXB,Al Maha,,
Middle East,Dubai,DXB,One & Only,,
Middle East,Dubai,DXB,Burj Al -Arab,Rooms for Royals - The worlds only 7 star hotel. Experience a life beyond luxury.,
Middle East,Dubai,DXB,Qasr Al Sarab,,
Middle East,Abu Dhabi,AUH,Qasr Al Sarab,"No, this is no mirage. Qasr Al Sarab Desert Resort by Anantara looms on the horizon of Abu Dhabi like some mythical fortress.",
Middle East,Abu Dhabi,AUH,St.Regis Sadiyat,,
Middle East,Abu Dhabi,AUH,Ritz Carlton,,
Middle East,Abu Dhabi,AUH,Jumeriah Etihad,,
Middle East,Abu Dhabi,AUH,Yas Viceroy,,
Middle East,Qatar,HDM,W,,
Middle East,Qatar,HDM,St.Regis,,
Middle East,Qatar,HDM,Four Seasons,"With its own private beach and marina, the Four Seasons Hotel Doha is a prestigious waterfront icon in the capital city of Qatar.",
Middle East,Qatar,HDM,Torch,,
Middle East,Qatar,HDM,La Cigale,,
Middle East,Saudi Arabia,JED,Intercontinental,,
Middle East,Saudi Arabia,JED,Al Faisaliah,"In the midst of exotic Riyadh, in Saudi Arabia, Al Faisaliah Hotel is an elegantly modern accommodation where you'll enjoy 24-hour butler service with every room.",
Middle East,Saudi Arabia,JED,Four Seasons,,
Middle East,Saudi Arabia,JED,Ritz Carlton,,
Middle East,Saudi Arabia,JED,Assila,,
South America,San Paulo - Brazil,BSB,Hotel Unique,"The citizens of São Paulo are used to the best in effortless sophistication, which is why Hotel Unique is such a hit, creating a cutting-edge design feast for a clientele with discriminating tastes.",
South America,San Paulo - Brazil,BSB,Hotel Fasano boa Vista,,
South America,San Paulo - Brazil,BSB,Tivoli San Paulo,,
South America,San Paulo - Brazil,BSB,Fasano San Paulo,,
South America,San Paulo - Brazil,BSB,Emiliano,,
AUSTRALIA,Sydney,SYD,Park Hyatt,,
AUSTRALIA,Sydney,SYD,Shangri - La,,
AUSTRALIA,Sydney,SYD,Ritz Carlton,,
AUSTRALIA,Sydney,SYD,Four Seasons,"When the beating sun of Sydney gets to be just a little too much for you, retreat to the Four Seasons Hotel Sydney, a dignified, yet relaxed exercise in true Aussie style.",
AUSTRALIA,Sydney,SYD,Intercontinental,,
AUSTRALIA,Melbourne,MEL,Crown Towers,,
AUSTRALIA,Melbourne,MEL,Grand Hyatt,,
AUSTRALIA,Melbourne,MEL,Intercontintal,,
AUSTRALIA,Melbourne,MEL,The Langham,"Experience impeccable hospitality and timeless elegance in a superb location on the Southbank promenade, with sweeping views of the majestic Melbourne skyline and captivating waters of the Yarra River on Southbank.",
AUSTRALIA,Melbourne,MEL,Sofitel Melbourne,,
